"net_name","ei","modularity","smi","rwc","bp","aei"
"sak_p3.edgelist_conf_2",-0.928656361474435,0.201051632943625,NA,0.890027517833823,0.507936507936508,0.923993414894579
"samasuunta_p1.edgelist",-0.84025974025974,0.273772980266487,0.703561222658356,0.739173224647479,0.70504147852336,0.835863812699082
"samasuunta_p1.edgelist_conf_1",-0.503287070854638,0.128254723046739,0.300370050190547,0.302144236903549,0.711608327359257,0.45189921434837
"samasuunta_p1.edgelist_conf_2",-0.4903988183161,0.241398645950834,0.473002589413387,0.443118592560968,0.505793285400193,0.489189193092522
"sananvapaus_p2.edgelist",-0.947019867549669,0.455388300599768,0.954621629759278,0.865737724249059,0.374651193810858,0.951282504851049
"sananvapaus_p2.edgelist_conf_1",-0.754172989377845,0.367033096082951,0.808678526906234,0.579715857010859,0.427105514937373,0.753254445953152
"sananvapaus_p2.edgelist_conf_2",-0.770290964777948,0.378926101465963,0.781264636041328,0.61444369363114,0.429783163265306,0.76952528550365
"sananvapaus_p3.edgelist",-0.913536498936924,0.447693303752384,0.876757061933473,0.883033442937925,0.465269841269841,0.912962056760662
"sananvapaus_p3.edgelist_conf_1",-0.825956489122281,0.40879762326178,0.891987621559351,0.712204218772394,0.44914089347079,0.826305054194436
"sananvapaus_p3.edgelist_conf_2",-0.856386999244142,0.325802749083172,0.92462738522688,0.731926856670591,0.486951447245565,0.851496245587715
"siksitiede_p1.edgelist",-0.716603569497025,0.290125105263512,0.689549051116765,0.719071666982572,0.4261784836319,0.696606487315709
"siksitiede_p1.edgelist_conf_1",-0.692217671152721,0.322676800376351,0.684980656980117,0.652876447787563,0.429451315162664,0.684558466664182
"siksitiede_p1.edgelist_conf_2",-0.679525222551929,0.337740756720584,0.699416077858708,0.666829756897915,0.439316675236215,0.679207302971981
"talous_p1.edgelist",-0.917894736842105,0.351469806094183,0.948389513233138,0.685551883651645,0.441512583461736,0.913177416777881
"talous_p1.edgelist_conf_1",-0.817983651226158,0.361133574382466,0.729331806914431,0.467979428227843,0.465022875487992,0.814999309361011
